Gene	B cells	T cells CD4	T cells CD8	T cells follicular helper
AC007403.2	10.8703098	10.68090452	11.84088348	11.7186871
AC007405.4	9.57338898	10.3477762	8.832572526	8.42352875
AC007461.2	14.36449696	16.51734207	14.28366209	14.51457992
AC007740.1	8.324864263	8.876613422	9.555164095	8.068272336
AC007773.2	26.59142202	18.25949364	17.9806708	23.29375022
AC007879.2	12.83922601	12.90435755	14.30562021	11.83131641
AC007966.1	8.945981723	9.033245042	8.28560116	8.173548493
AC008703.1	16.56137868	16.49802944	14.37133484	15.70528958
AC009120.4	10.43460629	11.0872551	11.7515151	11.22450086
AC009299.2	14.64962663	9.87561671	11.07957714	14.7241253
AC009299.3	67.66486871	53.13102196	73.4432638	69.17089925
AC009948.5	24.40045932	21.22581539	24.52233769	30.42681893
AC010987.6	20.70744205	17.91048762	18.55333689	18.88453216
AC011298.2	30.53612131	33.47242046	39.89003376	27.22300672
AC011343.1	18.09817544	17.9417899	16.93005113	14.74208746
AC011518.1	15.23789898	15.17946441	15.63860103	12.76955526
AC011609.3	12.67377522	12.67147852	13.33491187	12.71656682
AC011738.4	13.76098834	13.51514639	15.55957211	15.08187488
AC011899.9	26.73056711	22.0465722	30.34635149	23.17441613
AC012075.2	9.669484974	9.255627399	9.694033384	9.245501415
AC012494.1	12.44944365	13.47664306	13.99148134	11.67608311
AC012507.3	26.86075573	31.85667265	44.06454006	22.88459932
AC016582.2	10.76327721	11.12200415	10.88580631	10.79289427
AC016629.8	23.26675005	14.74939299	14.85595226	31.57515199
AC016910.1	9.083964041	9.26100644	10.16834399	8.210191316
AC018470.4	11.93684973	12.74836332	13.45570381	9.810862696
AC018647.3	14.8492377	17.51462314	18.2797824	14.8277049
AC018705.5	12.2300291	11.43392233	11.04392781	14.17877074
AC018799.1	17.5856148	19.3958575	19.35020862	14.32035336
AC020571.3	10.35847803	40.51379903	11.0461469	22.13958452
AC022007.5	24.21117857	20.02745427	22.64916813	21.50959445
AC024592.9	44.54412394	32.93081136	38.80783307	40.64672193
AC027269.2	11.71428679	12.76107971	13.06147451	10.12836906
AC037193.1	14.67653544	14.8924146	15.70334926	13.37234277
AC068858.1	34.8816438	33.44450175	38.45438751	31.62755334
AC073128.10	12.80412267	11.00342435	13.89429825	13.52863988
AC073133.1	12.6885449	12.92540273	11.9488397	12.12524768
AC073283.4	10.26087181	12.21703294	12.86625263	9.520278762
AC074286.1	16.55434172	21.11922615	22.71584592	21.40040643
AC074289.1	247.3852471	75.30796228	68.39496201	86.76412572
AC079117.1	10.27227724	11.17970765	10.02926722	9.745950623
AC079145.4	19.99055375	22.64570509	21.932555	18.51472261
AC079354.3	22.94284477	20.88028414	26.11182813	23.21057409
AC079586.1	13.44892841	14.14953611	17.5018356	13.48273257
AC084125.4	34.83545623	36.6611009	50.09791134	44.35162024
AC090505.6	35.50498773	25.96967439	23.12826547	27.83690865
AC091729.9	29.66961363	25.86210862	26.67615711	21.94189699
AC091878.1	15.01780882	13.63593715	13.22006427	11.98521282
AC092295.7	26.13329709	16.03855479	19.9286584	25.83151727
AC093391.2	26.38865658	23.97595436	25.18238646	31.82963417
AC093590.1	10.7480102	12.25511711	12.65326379	10.93295399
AC093627.10	18.68874932	21.88217902	18.11618791	18.03474054
AC093690.1	14.60903744	13.87539616	14.57605114	15.70224537
AC096559.1	132.3491807	47.22223392	46.90675293	53.94505724
